class,binSpecies,sex,n,n_dead,infant_cutoff_d,ndims,L,rms,arm,wall_s,rho_eta,rho_beta,rho_eps,kappa,omega,s,beta_xc_eps,external_hazard
Mammalia,Osphranter robustus,m,334,184,193.83270142180092,4,2872.540467585668,0.0169963187120491,removal,68.36551734991372,2.913512024497118,9.631243268691447,1.5640392443325644,0.2111208764391386,-5.226523110634131,1.0913417289991452,6.157929414873135,
Mammalia,Cercopithecus diana,f,259,150,480.66706586826353,4,6625.050836025962,0.0224550024618015,removal,59.36869327863678,7.220833145364643,18.01741912184799,3.044192762983472,0.0010214886726083,-4.73261835595655,0.8827170306069411,5.918619655409059,
Mammalia,Antilope cervicapra,m,4440,2506,81.68282422293677,4,2015.3044820246917,0.0266110915244289,removal,192.5051689413376,0.0002824598673,80.25155330640801,11.16762303435474,0.0733016847736804,-7.1860781680755625,0.0015049346082015,7.18609081444921,
Mammalia,Trichosurus vulpecula,f,133,70,129.97931034482758,4,2474.877707732251,0.0317639517415115,removal,322.4777895268053,0.342090592269393,1.1976987554368546,0.7911142700547048,0.001,-1.297730932386248,0.7393181142789705,1.513939010800595,
Mammalia,Lynx rufus,m,276,149,391.5253456221199,4,6081.3402865784265,0.0423642311893187,removal,36.24923145817593,8.4665501215124,8.11528486161431,0.950782819202349,0.0010509004751016,-4.0829616632270325,3.060355768848792,8.535371798601238,
Mammalia,Capromys pilorides,f,173,120,175.63233082706768,4,3007.271500428287,0.0164289342437194,removal,116.50979243312032,5.642256487052952,24.028157888579276,3.745263494072611,0.1268637010392728,-5.662359852281637,0.6342259896760636,6.415612126251491,
Mammalia,Connochaetes gnou,m,335,214,139.18592592592594,5,340.93899978160897,0.0543581826765418,removal,183.2475858661346,0.0045053367007898,10.55586879356756,0.6901486096282644,0.0015055938634529,-15.29180234225448,0.0972570313427582,15.29506637599876,7.815262764708162
Aves,Spatula querquedula,m,194,124,146.9845070422535,4,2407.708526809716,0.0220303378677914,removal,173.0549968201667,5.539506449516367,49.2787015763295,7.8463588124786545,0.01061001964575,-5.927456220534376,0.2999627812528678,6.280454763037076,
Aves,Musophaga violacea,f,331,172,221.6415458937198,4,3922.4744734340825,0.0196735306956659,removal,134.68811602704227,0.555407630008965,4.009737180293191,1.0113987953551966,0.2909718277815831,-3.689972128133733,0.7368574669485285,3.964546130277916,
Aves,Meleagris ocellata,m,255,165,136.76519823788547,4,2281.7235009514925,0.03486341384872,removal,158.53938140626997,4.312785936396217,49.98841429896394,8.192292304400986,0.0010101108891786,-5.83866145804758,0.2534974013154668,6.101883629336521,
Aves,Lophophorus impejanus,m,357,183,218.36995515695068,4,3769.2004170112336,0.0213072636623638,removal,84.02899761404842,3.5938971994533917,23.159852521810954,4.331891591383146,0.0010027022694107,-4.931541676753554,0.4376281457653326,5.34636013696182,
Mammalia,Cuon alpinus,m,524,310,236.68928571428572,4,3710.9581884834456,0.0371160488194778,removal,55.29154420411214,12.04754680427934,21.64636845087463,3.140763191244029,0.0011261418220745,-4.974139754403765,1.105131908803748,6.892072764741201,
Mammalia,Alcelaphus buselaphus,f,178,145,212.62436548223351,4,3207.45543154324,0.0164321448017601,removal,105.34929017908873,1.5015005279753375,2.617001268252512,0.9167124268382398,0.0010000133310382,-2.0358085585264525,1.3366866973476903,2.8547679639061987,
Aves,Netta peposaca,m,611,325,291.9214285714286,4,4629.80920975625,0.0185787033045303,removal,68.42020452301949,5.9158298065404304,20.098438245507484,3.5700855486459453,0.0010551258539962,-4.801151991648573,0.6812856046528052,5.629679729420036,
Mammalia,Otaria byronia,f,158,93,284.92881355932207,4,4679.031318124222,0.0378970062637956,removal,68.62889919290319,7.748913411772026,29.09385066331844,4.729237665403964,0.0012374791772743,-5.33265522727292,0.5886122065572688,6.151911306160438,
Mammalia,Octodon degus,m,402,279,122.95529801324504,4,1598.34750987709,0.0122387847937924,removal,61.12519286526367,1.3973489706834723,3.1455322673218964,1.0751354228091723,0.0013232810457296,-2.275860073130952,1.0994848986971577,2.9257079625402707,
Aves,Lyrurus tetrix,m,132,101,91.7577981651376,4,1079.8138934963283,0.0224480765324666,removal,159.42268619826064,0.0001,0.0001000000001196,0.5245700202125445,4.99999999446924,-9.53161602704239e-05,0.0190632320084726,0.0001906323203127,
Aves,Bucephala albeola,f,222,92,135.7108527131783,4,3827.126668658231,0.018662457844962,removal,613.821812370792,0.6890962643862384,41.95571215532162,7.027921669005135,0.0204769540592889,-5.920834918613846,0.1181171706564823,5.969860526527586,
Mammalia,Eulemur rubriventer,m,148,49,312.64927536231886,4,7501.4213444219,0.0364582360401934,removal,85.35367239196785,17.499812522920703,50.48687317902167,6.781005399815318,0.0010080882706369,-6.154982109098163,0.6169111331082879,7.445337409758838,
Aves,Coracias caudatus,f,249,164,189.5955555555556,4,2826.938058130573,0.0206264128240559,removal,426.76432855799794,0.0029660618466135,80.24955774984544,12.62787228989274,0.0048984513451124,-6.354837369012048,0.0043128059715876,6.354954810089157,
Mammalia,Catagonus wagneri,m,131,41,214.65,5,59442.5127963768,0.0456306191158401,production,14.626283409073949,120.8111807924558,0.10829541664795,0.0078105834790545,0.2961640119819592,7719.9475738627425,1407.2462047565052,13.865214671651934,9.620596156849295
Aves,Hypotaenidia owstoni,m,195,84,261.95148514851485,4,3541.0068319371067,0.0393985601423025,removal,40.247007969999686,9.832735487927106,14.864704951447848,2.111277584398362,0.0010557028284798,-4.711998687903094,1.4852235995491982,7.040620836072464,
Aves,Mareca americana,m,142,77,193.31098901098903,4,3565.925582914686,0.0234240391344945,removal,106.75366715341806,1.394173442770787,7.442080296408406,1.476322115043227,0.2001230897665908,-4.568781776208451,0.7997924082057806,5.040959706947491,
